school_year,year_of_birth,number_of_participated_club,number_of_COVID19_infected,activity_code_1_participated,activity_code_2_participated,activity_code_3_participated,activity_code_4_participated,activity_code_5_participated,activity_code_6_participated,activity_code_7_participated,activity_code_8_participated,activity_code_9_participated,activity_code_10_participated,activity_code_11_participated,total_activity_number
3,2000,2,0,1,1,0,1,1,0,0,0,0,0,0,4
3,2000,4,1,1,1,1,1,1,0,1,0,0,0,0,6
3,2000,5,1,1,1,1,1,0,0,0,0,0,0,0,4
3,2000,2,0,1,1,0,0,0,0,0,0,1,0,0,3
3,1997,5,0,1,1,1,1,0,0,0,1,0,0,0,5
3,2000,2,1,1,1,1,0,0,0,0,0,0,0,0,3
3,1999,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2001,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,2001,3,0,1,1,0,0,0,0,0,1,1,0,0,4
3,2001,4,0,1,1,0,0,0,0,0,0,0,0,0,2
3,2000,2,0,1,1,0,0,0,0,1,0,0,0,0,3
3,1999,5,1,1,1,1,0,0,0,0,0,0,0,0,3
3,2001,4,1,1,1,0,1,0,0,0,0,0,0,0,3
3,1998,2,1,1,1,0,1,0,0,1,0,0,0,0,4
2,2001,3,1,1,1,1,1,0,0,0,0,1,0,0,5
3,2001,2,0,1,1,0,0,0,0,0,0,0,0,0,2
4,1999,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4,1998,2,1,1,1,0,0,0,1,0,0,1,0,0,4
3,2000,2,0,1,1,0,0,1,0,1,0,0,0,0,4
3,1994,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1999,1,1,1,1,0,0,0,0,0,0,0,0,0,2
3,1999,5,0,1,1,1,1,0,0,0,0,0,0,0,4
1,2001,2,0,1,1,0,0,0,0,0,0,0,0,0,2
1,2001,5,1,1,1,1,1,0,0,1,1,1,0,0,7
1,2003,2,0,1,1,0,0,0,0,0,1,0,0,0,3
1,2000,3,1,1,1,1,1,0,0,1,0,1,0,0,6
1,2001,4,1,1,1,0,0,1,0,1,0,1,0,0,5
1,2000,3,1,1,1,1,0,1,0,1,0,1,0,0,6
1,2002,4,2,1,1,1,0,1,0,1,1,0,0,0,6
1,2003,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,2003,3,1,1,1,0,1,0,0,1,0,0,0,0,4
2,1991,1,1,1,1,0,0,0,0,0,0,0,0,0,2
2,2000,1,0,1,0,0,0,0,0,0,1,0,0,0,2
